time (s),Pressure (psi),Rate (bpm)
1258,5901.48,0
1259,5899.54,0
1260,5897.57,0
1261,5895.57,0
1262,5893.61,0
1263,5891.66,0
1264,5889.79,0
1265,5887.89,0
1266,5885.97,0
1267,5884.17,0
1268,5882.29,0
1269,5880.25,0
1270,5878.4,0
1271,5876.49,0
1272,5874.55,0
1273,5872.6,0
1274,5870.65,0
1275,5868.66,0
1276,5866.14,0
1277,5864.31,0
1278,5862.53,0
1279,5860.66,0
1280,5858.76,0
1281,5856.82,0
1282,5854.98,0
1283,5853.08,0
1284,5851.17,0
1285,5849.27,0
1286,5847.34,0
1287,5845.43,0
1288,5843.47,0
1289,5841.48,0
1290,5839.59,0
1291,5837.77,0
1292,5835.91,0
1293,5834,0
1294,5832.03,0
1295,5830.1,0
1296,5828.25,0
1297,5825.65,0
1298,5823.76,0
1299,5821.83,0
1300,5819.98,0
1301,5818.08,0
1302,5816.24,0
1303,5814.37,0
1304,5812.69,0
1305,5810.98,0
1306,5809.16,0
1307,5807.42,0
1308,5805.7,0
1309,5803.83,0
1310,5801.99,0
1311,5800.25,0
1312,5798.43,0
1313,5796.64,0
1314,5794.84,0
1315,5793,0
1316,5791.15,0
1317,5788.61,0
1318,5786.72,0
1319,5784.87,0
1320,5783.04,0
1321,5781.19,0
1322,5779.33,0
1323,5777.48,0
1324,5775.68,0
1325,5773.89,0
1326,5772.06,0
1327,5770.23,0
1328,5768.46,0
1329,5766.64,0
1330,5764.85,0
1331,5762.98,0
1332,5761.21,0
1333,5759.42,0
1334,5757.62,0
1335,5755.9,0
1336,5754.21,0
1337,5752.52,0
1338,5750.22,0
1339,5748.5,0
1340,5746.77,0
1341,5745.03,0
1342,5743.33,0
1343,5741.62,0
1344,5739.9,0
1345,5738.16,0
1346,5736.38,0
1347,5734.63,0
1348,5732.82,0
1349,5731.09,0
1350,5729.32,0
1351,5727.46,0
1352,5725.64,0
1353,5723.88,0
1354,5722.05,0
1355,5720.26,0
1356,5718.47,0
1357,5716.68,0
1358,5714.94,0
1359,5712.67,0
1360,5710.9,0
1361,5709.15,0
1362,5707.47,0
1363,5705.79,0
1364,5704.07,0
1365,5702.47,0
1366,5700.77,0
1367,5699.05,0
1368,5697.28,0
1369,5695.56,0
1370,5693.98,0
1371,5692.32,0
1372,5690.63,0
1373,5689,0
1374,5687.3,0
1375,5685.57,0
1376,5683.82,0
1377,5682.12,0
1378,5680.44,0
1379,5678.67,0
1380,5676.34,0
1381,5674.62,0
1382,5672.88,0
1383,5671.12,0
1384,5669.42,0
1385,5667.7,0
1386,5666.01,0
1387,5664.25,0
1388,5662.53,0
1389,5660.81,0
1390,5659.1,0
1391,5657.36,0
